gsa_id,subbasin_id,area_fraction
10,5-022.07,0.9999960948171768
116,5-022.01,1.0
12,5-022.08,0.999992460725127
13,5-022.07,0.9999734825502178
137,5-022.01,0.9999951166397729
140,5-022.01,1.0
142,5-022.01,0.9999448823111363
146,5-022.15,0.9999077319875862
149,5-022.15,0.9999173144096346
15,5-022.14,1.0
151,5-022.01,1.0
152,5-022.01,1.0
155,5-022.16,1.0
157,5-022.15,1.0
159,5-022.01,0.9999987089541423
160,5-022.16,0.999953894938878
17,5-022.07,1.0
18,5-022.08,0.9999644934848699
182,5-022.16,1.0
183,5-022.01,0.9997214777746282
187,5-022.08,0.9999119168021973
188,5-022.14,1.0
189,5-022.01,1.0
19,5-022.06,0.9999982609427196
190,5-022.10,0.9999315164094691
191,5-022.05,0.9995675938884963
192,5-022.02,0.9999330994127427
193,5-022.16,0.9999842426829122
196,5-022.14,1.0
20,5-022.14,1.0
201,5-022.01,0.99998648823769
206,5-022.07,0.9999452763433774
208,5-022.01,0.9998794631776695
211,5-022.08,0.9999786430572873
214,5-022.07,0.9997971483301387
219,5-022.04,0.999962328890449
22,5-022.14,1.0
220,5-022.07,0.9996556142526465
222,5-022.12,0.9999908190946603
223,5-022.04,0.9998657354417877
224,5-022.15,1.0
225,5-022.03,0.999939543672605
226,5-022.12,0.9999864531832057
228,5-022.01,0.9998919334093584
23,5-022.07,0.9999906284325323
231,5-022.07,0.9997868181096794
237,5-022.07,1.0
238,5-022.03,0.9999395869819464
244,5-022.18,0.9999985796945041
249,5-022.01,0.9999901281563351
25,5-022.13,1.0
252,5-022.15,1.0
254,5-022.14,1.0
259,5-022.15,0.9999864455497225
265,5-022.15,1.0
266,5-022.08,0.9999905724052031
269,5-022.07,1.0
271,5-022.07,1.0
277,5-022.14,1.0
281,5-022.11,0.9999877388699026
286,5-022.15,0.9998848760327106
288,5-022.01,0.9999802894682432
289,5-022.15,1.0
29,5-022.13,0.9999822627723086
297,5-022.09,0.9997306330607302
298,5-022.07,0.9998461137994771
299,5-022.15,1.0
30,5-022.07,1.0
300,5-022.02,1.0
301,5-022.07,0.9999728868484385
302,5-022.07,1.0
306,5-022.14,1.0
308,5-022.07,0.9998193167690599
311,5-022.04,0.9999764612403079
312,5-022.16,0.9998872287950784
314,5-022.11,0.9999814705243734
317,5-022.08,1.0
326,5-022.14,1.0
33,5-022.06,0.999964476745044
34,5-022.06,0.999953851625185
343,5-022.15,0.9997390081145191
358,5-022.12,0.9999497214730743
360,5-022.07,1.0
389,5-022.01,0.9999999453480346
39,5-022.14,1.0
394,5-022.05,0.9999732879197335
40,5-022.09,0.9999588313137965
408,5-022.10,0.9999309843300418
41,5-022.06,1.0
410,5-022.10,1.0
411,5-022.12,0.999989623726264
42,5-022.13,0.999997281712706
43,5-022.13,1.0
463,5-022.15,1.0
47,5-022.06,1.0
470,5-022.13,1.0
481,5-022.14,0.999999912342411
482,5-022.14,0.999976866940491
484,5-022.14,0.9999907480028593
490,5-022.13,0.9999603252324213
496,5-022.16,0.9999312074507909
506,5-022.14,0.9999999975708507
507,5-022.14,1.0
508,5-022.14,1.0
514,5-022.14,0.9984086164634152
515,5-022.14,1.0
517,5-022.14,0.9989378442196096
518,5-022.13,0.9995559873178445
523,5-022.14,1.0
528,5-022.13,1.0
530,5-022.13,1.0
537,5-022.13,1.0
538,5-022.13,1.0
541,5-022.13,0.9994771446265747
544,5-022.13,0.9999992954125707
545,5-022.13,1.0
57,5-022.07,1.0
59,5-022.06,0.9999999679381556
61,5-022.05,0.9999761934470656
62,5-022.07,0.9999992874799757
65,5-022.08,0.9987197356949123
66,5-022.07,1.0
67,5-022.07,0.9999824000501973
68,5-022.05,0.9938500252399495
69,5-022.06,0.9994211595032995
7,5-022.11,1.0
70,5-022.07,0.7971415108663589
71,5-022.07,1.0
73,5-022.12,0.999872693778152
91,5-022.01,1.0
97,5-022.16,0.9999725501484417
99,5-022.01,1.0
