GSP_ID,GSP_Name,GSA_Name,Basin_Name,Basin_ID,Status_Raw,Status,Is_Complete,Is_Incomplete,Is_Inadequate,Is_Under_Review,In_State_Intervention,Date_Submitted,Date_Posted,Date_Determination
13,,,SAN JOAQUIN VALLEY,5-022,Correspondence - Post State Intervention,Correspondence - Post State Intervention,False,False,False,False,False,,2020-01-31,
14,,,SAN JOAQUIN VALLEY,5-022,Correspondence - Post State Intervention,Correspondence - Post State Intervention,False,False,False,False,False,,2020-01-31,
145,,,SAN JOAQUIN VALLEY,5-022,Inadequate,Approved,True,False,False,False,False,,2022-04-08,
21,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-10-09,
22,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-01-31,
25,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-01-31,
26,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-01-31,
28,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-01-31,
61,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-10-09,
65,,,SAN JOAQUIN VALLEY,5-022,Inadequate,Approved,True,False,False,False,False,,2020-02-19,
164,,,SAN JOAQUIN VALLEY,5-022,Inadequate - Under Review,Approved,True,False,False,False,False,,2026-01-14,
165,,,SAN JOAQUIN VALLEY,5-022,Inadequate - Under Review,Approved,True,False,False,False,False,,2026-01-14,
166,,,SAN JOAQUIN VALLEY,5-022,Inadequate - Under Review,Approved,True,False,False,False,False,,2026-01-14,
167,,,SAN JOAQUIN VALLEY,5-022,Inadequate - Under Review,Approved,True,False,False,False,False,,2026-02-04,
168,,,SAN JOAQUIN VALLEY,5-022,Inadequate - Under Review,Approved,True,False,False,False,False,,2026-02-04,
169,,,SAN JOAQUIN VALLEY,5-022,Inadequate - Under Review,Approved,True,False,False,False,False,,2026-02-04,
170,,,SAN JOAQUIN VALLEY,5-022,Inadequate - Under Review,Approved,True,False,False,False,False,,2026-02-04,
171,,,SAN JOAQUIN VALLEY,5-022,Inadequate - Under Review,Approved,True,False,False,False,False,,2026-02-04,
172,,,SAN JOAQUIN VALLEY,5-022,Inadequate - Under Review,Approved,True,False,False,False,False,,2026-02-04,
173,,,SAN JOAQUIN VALLEY,5-022,Inadequate - Under Review,Approved,True,False,False,False,False,,2026-02-04,
8,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-01-31,
49,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-10-09,
67,,,CASTAC LAKE VALLEY,5-029,Incomplete,Incomplete,False,True,False,False,False,,2020-11-13,
122,,,SAN JOAQUIN VALLEY,5-022,Approved,Approved,True,False,False,False,False,,2022-02-07,
160,,,SAN JOAQUIN VALLEY,5-022,Inadequate - Under Review,Approved,True,False,False,False,False,,2025-07-15,
7,,,SAN JOAQUIN VALLEY,5-022,Correspondence - Post State Intervention,Correspondence - Post State Intervention,False,False,False,False,False,,2020-01-31,
9,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-01-31,
23,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-01-31,
24,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-01-31,
38,,,SAN JOAQUIN VALLEY,5-022,Correspondence - Post State Intervention,Correspondence - Post State Intervention,False,False,False,False,False,,2020-01-31,
42,,,SAN JOAQUIN VALLEY,5-022,Inadequate,Approved,True,False,False,False,False,,2020-01-31,
43,,,SAN JOAQUIN VALLEY,5-022,Inadequate,Approved,True,False,False,False,False,,2020-02-19,
45,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-10-09,
63,,,SAN JOAQUIN VALLEY,5-022,Inadequate,Approved,True,False,False,False,False,,2020-02-19,
110,,,SAN JOAQUIN VALLEY,5-022,Approved,Approved,True,False,False,False,False,,2022-02-07,
123,,,SAN JOAQUIN VALLEY,5-022,Approved,Approved,True,False,False,False,False,,2022-02-14,
15,,,SAN JOAQUIN VALLEY,5-022,Correspondence - Post State Intervention,Correspondence - Post State Intervention,False,False,False,False,False,,2020-01-31,
20,,,SAN JOAQUIN VALLEY,5-022,Correspondence - Post State Intervention,Correspondence - Post State Intervention,False,False,False,False,False,,2020-01-31,
31,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-01-31,
47,,,SAN JOAQUIN VALLEY,5-022,Under Periodic Review,Under Review,False,False,False,True,False,,2020-01-31,
48,,,SAN JOAQUIN VALLEY,5-022,Inadequate,Approved,True,False,False,False,False,,2020-02-19,
56,,,SAN JOAQUIN VALLEY,5-022,Inadequate,Approved,True,False,False,False,False,,2020-02-19,
57,,,SAN JOAQUIN VALLEY,5-022,Inadequate,Approved,True,False,False,False,False,,2020-02-19,
85,,,SAN JOAQUIN VALLEY,5-022,Approved,Approved,True,False,False,False,False,,2022-02-14,
120,,,SAN JOAQUIN VALLEY,5-022,Approved,Approved,True,False,False,False,False,,2022-02-07,
